,Recording timestamp,Computer timestamp,Event value
2338,54849574,6459893432,視線誘導問題.002
4232,86348807,6491392665,視線誘導問題.002
4535,91349501,6496393359,視線誘導問題.001
6969,131812950,6536856808,視線誘導問題.001
7261,136804614,6541848472,視線誘導問題.003
9368,171870866,6576914724,視線誘導問題.003
9623,176865961,6581909819,視線誘導問題.004
11590,209566796,6614610654,視線誘導問題.004
