Eyetracker timestamp,Gaze point X,Gaze point Y,Gaze point left X,Gaze point left Y,Gaze point right X,Gaze point right Y,Validity left,Validity right,area_flg
2080195352.0,,,,,,,Invalid,Invalid,Outside
2080211798.0,955.0,288.0,910.0,283.0,1000.0,292.0,Valid,Valid,question_graph
2080228545.0,840.0,272.0,812.0,262.0,867.0,282.0,Valid,Valid,question_graph
2080245147.0,,,,,,,Invalid,Invalid,Outside
2080261668.0,673.0,231.0,638.0,218.0,709.0,243.0,Valid,Valid,question_graph
2080278557.0,668.0,235.0,640.0,222.0,696.0,248.0,Valid,Valid,question_graph
2080295067.0,,,,,,,Invalid,Invalid,Outside
2080311634.0,670.0,233.0,644.0,223.0,695.0,244.0,Valid,Valid,question_graph
2080328472.0,674.0,226.0,648.0,214.0,700.0,237.0,Valid,Valid,question_graph
2080344987.0,,,,,,,Invalid,Invalid,Outside
2080361504.0,677.0,237.0,651.0,226.0,702.0,249.0,Valid,Valid,question_graph
2080378387.0,673.0,229.0,652.0,224.0,693.0,235.0,Valid,Valid,question_graph
2080394907.0,,,,,,,Invalid,Invalid,Outside
2080411470.0,675.0,229.0,654.0,221.0,696.0,236.0,Valid,Valid,question_graph
2080428302.0,671.0,224.0,654.0,210.0,689.0,239.0,Valid,Valid,question_graph
2080444827.0,,,,,,,Invalid,Invalid,Outside
2080461338.0,670.0,226.0,651.0,221.0,690.0,232.0,Valid,Valid,question_graph
2080478218.0,673.0,231.0,657.0,224.0,690.0,238.0,Valid,Valid,question_graph
2080494747.0,,,,,,,Invalid,Invalid,Outside
2080511304.0,773.0,230.0,747.0,225.0,799.0,235.0,Valid,Valid,question_graph
2080528134.0,794.0,227.0,771.0,227.0,816.0,227.0,Valid,Valid,question_graph
2080544667.0,,,,,,,Invalid,Invalid,Outside
2080561270.0,795.0,217.0,773.0,211.0,817.0,223.0,Valid,Valid,question_graph
2080578048.0,792.0,211.0,780.0,208.0,804.0,213.0,Valid,Valid,question_graph
2080594587.0,,,,,,,Invalid,Invalid,Outside
2080611140.0,803.0,210.0,778.0,203.0,827.0,218.0,Valid,Valid,question_graph
2080627964.0,794.0,210.0,779.0,210.0,809.0,210.0,Valid,Valid,question_graph
2080644507.0,,,,,,,Invalid,Invalid,Outside
2080661106.0,812.0,202.0,802.0,194.0,821.0,210.0,Valid,Valid,question_graph
2080677879.0,864.0,210.0,835.0,198.0,893.0,222.0,Valid,Valid,question_graph
2080694427.0,,,,,,,Invalid,Invalid,Outside
2080710975.0,895.0,206.0,874.0,202.0,915.0,211.0,Valid,Valid,question_graph
2080727795.0,898.0,206.0,882.0,204.0,915.0,208.0,Valid,Valid,question_graph
2080744347.0,,,,,,,Invalid,Invalid,Outside
2080760941.0,710.0,192.0,667.0,192.0,753.0,193.0,Valid,Valid,question_graph
2080777807.0,552.0,163.0,539.0,153.0,566.0,173.0,Valid,Valid,question_graph
2080794267.0,,,,,,,Invalid,Invalid,Outside
2080810811.0,479.0,152.0,452.0,142.0,506.0,163.0,Valid,Valid,question_graph
2080827723.0,486.0,164.0,462.0,159.0,510.0,169.0,Valid,Valid,question_graph
2080844192.0,,,,,,,Invalid,Invalid,Outside
2080860777.0,481.0,150.0,458.0,146.0,503.0,154.0,Valid,Valid,question_graph
2080877638.0,483.0,151.0,464.0,138.0,503.0,164.0,Valid,Valid,question_graph
2080894112.0,,,,,,,Invalid,Invalid,Outside
2080910647.0,477.0,150.0,455.0,143.0,499.0,158.0,Valid,Valid,question_graph
2080927553.0,481.0,153.0,457.0,145.0,505.0,161.0,Valid,Valid,question_graph
2080944032.0,,,,,,,Invalid,Invalid,Outside
2080960613.0,485.0,149.0,465.0,138.0,504.0,161.0,Valid,Valid,question_graph
2080977372.0,484.0,165.0,470.0,157.0,499.0,173.0,Valid,Valid,question_graph
2080993952.0,,,,,,,Invalid,Invalid,Outside
2081010579.0,274.0,124.0,271.0,130.0,276.0,118.0,Valid,Valid,question_graph
2081027384.0,274.0,124.0,277.0,125.0,272.0,123.0,Valid,Valid,question_graph
2081043872.0,,,,,,,Invalid,Invalid,Outside
2081060448.0,275.0,112.0,264.0,110.0,287.0,114.0,Valid,Valid,question_graph
2081077300.0,276.0,112.0,265.0,112.0,287.0,111.0,Valid,Valid,question_graph
2081093792.0,,,,,,,Invalid,Invalid,Outside
2081110413.0,272.0,126.0,270.0,136.0,275.0,115.0,Valid,Valid,question_graph
2081127214.0,280.0,125.0,270.0,133.0,290.0,117.0,Valid,Valid,question_graph
2081143717.0,,,,,,,Invalid,Invalid,Outside
2081160283.0,300.0,143.0,303.0,155.0,298.0,131.0,Valid,Valid,question_graph
2081177130.0,285.0,117.0,280.0,113.0,291.0,120.0,Valid,Valid,question_graph
2081193637.0,,,,,,,Invalid,Invalid,Outside
2081210249.0,308.0,180.0,275.0,134.0,340.0,226.0,Valid,Valid,question_graph
2081227045.0,289.0,134.0,282.0,129.0,297.0,139.0,Valid,Valid,question_graph
2081243681.0,,,,,,,Invalid,Invalid,Outside
2081260118.0,342.0,145.0,321.0,141.0,362.0,149.0,Valid,Valid,question_graph
2081276961.0,367.0,161.0,,,367.0,161.0,Invalid,Valid,question_graph
2081293477.0,,,,,,,Invalid,Invalid,Outside
2081310084.0,349.0,149.0,335.0,144.0,363.0,155.0,Valid,Valid,question_graph
2081326877.0,351.0,153.0,332.0,148.0,369.0,159.0,Valid,Valid,question_graph
2081343402.0,,,,,,,Invalid,Invalid,Outside
2081359954.0,352.0,155.0,339.0,149.0,365.0,161.0,Valid,Valid,question_graph
2081376791.0,351.0,150.0,339.0,142.0,364.0,157.0,Valid,Valid,question_graph
2081393322.0,,,,,,,Invalid,Invalid,Outside
2081409920.0,351.0,153.0,334.0,144.0,368.0,163.0,Valid,Valid,question_graph
2081426707.0,353.0,153.0,337.0,145.0,370.0,161.0,Valid,Valid,question_graph
2081443242.0,,,,,,,Invalid,Invalid,Outside
2081459790.0,355.0,160.0,341.0,149.0,369.0,171.0,Valid,Valid,question_graph
2081476622.0,354.0,159.0,343.0,143.0,366.0,175.0,Valid,Valid,question_graph
2081493162.0,,,,,,,Invalid,Invalid,Outside
2081509756.0,354.0,177.0,340.0,148.0,368.0,207.0,Valid,Valid,question_graph
2081526538.0,356.0,155.0,347.0,147.0,365.0,163.0,Valid,Valid,question_graph
2081543082.0,377.0,179.0,,,377.0,179.0,Invalid,Valid,question_graph
2081559624.0,478.0,196.0,450.0,180.0,507.0,212.0,Valid,Valid,question_graph
2081576454.0,510.0,204.0,480.0,189.0,540.0,219.0,Valid,Valid,question_graph
2081593002.0,,,,,,,Invalid,Invalid,Outside
2081609590.0,513.0,212.0,477.0,204.0,549.0,220.0,Valid,Valid,question_graph
2081626368.0,511.0,214.0,478.0,209.0,545.0,219.0,Valid,Valid,question_graph
2081642926.0,,,,,,,Invalid,Invalid,Outside
2081659460.0,511.0,217.0,478.0,201.0,544.0,232.0,Valid,Valid,question_graph
2081676381.0,516.0,220.0,479.0,202.0,554.0,237.0,Valid,Valid,question_graph
2081692846.0,,,,,,,Invalid,Invalid,Outside
2081709426.0,521.0,211.0,495.0,202.0,546.0,221.0,Valid,Valid,question_graph
2081726199.0,517.0,216.0,497.0,215.0,537.0,216.0,Valid,Valid,question_graph
2081742766.0,,,,,,,Invalid,Invalid,Outside
2081759295.0,521.0,220.0,493.0,211.0,549.0,230.0,Valid,Valid,question_graph
2081776115.0,517.0,225.0,497.0,215.0,536.0,235.0,Valid,Valid,question_graph
2081792686.0,,,,,,,Invalid,Invalid,Outside
2081809261.0,574.0,421.0,557.0,404.0,592.0,437.0,Valid,Valid,question_graph
