,Recording timestamp,Computer timestamp,Event value
2104,49755162,2316775885,視線誘導問題.002
4852,95909592,2362930315,視線誘導問題.002
5135,100900781,2367921504,視線誘導問題.001
8002,148809620,2415830343,視線誘導問題.001
8295,153817632,2420838355,視線誘導問題.003
10533,191084239,2458104962,視線誘導問題.003
10812,196091507,2463112230,視線誘導問題.004
13322,237854039,2504874762,視線誘導問題.004
