,Unnamed: 0,Recording timestamp,Computer timestamp,Eyetracker timestamp,Gaze point X,Gaze point Y,Gaze point left X,Gaze point left Y,Gaze point right X,Gaze point right Y,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil diameter left,Pupil diameter right,Pupil diameter filtered,Validity left,Validity right,Eye position left X (DACSmm),Eye position left Y (DACSmm),Eye position left Z (DACSmm),Eye position right X (DACSmm),Eye position right Y (DACSmm),Eye position right Z (DACSmm),Gaze point left X (DACSmm),Gaze point left Y (DACSmm),Gaze point right X (DACSmm),Gaze point right Y (DACSmm),Gaze point X (MCSnorm),Gaze point Y (MCSnorm),Gaze point left X (MCSnorm),Gaze point left Y (MCSnorm),Gaze point right X (MCSnorm),Gaze point right Y (MCSnorm),Eye movement type,Eye movement event duration,Eye movement type index,Fixation point X,Fixation point Y,Fixation point X (MCSnorm),Fixation point Y (MCSnorm)
5136,5136,100915117,2367935840,2383189903.0,816.0,659.0,,,816.0,659.0,,,,-0.13702,0.01122,-0.9905,,2.874,2.996,Invalid,Valid,,,,316.4,203.8,591.1,,,234.6,210.5,0.425,0.61,,,0.425,0.61,Unclassified,33.0,82.0,,,,
5137,5137,100931519,2367952242,2383206304.0,818.0,670.0,,,818.0,670.0,,,,-0.13512,0.01759,-0.99067,,3.042,3.042,Invalid,Valid,,,,315.9,203.6,591.1,,,235.3,214.1,0.4263,0.6207,,,0.4263,0.6207,Unclassified,33.0,82.0,,,,
5138,5138,100947999,2367968722,2383222783.0,,,,,,,,,,,,,,,3.062,Invalid,Invalid,,,,,,,,,,,,,,,,,EyesNotFound,17.0,110.0,,,,
5139,5139,100965031,2367985754,2383239814.0,792.0,628.0,796.0,621.0,787.0,634.0,-0.03766,0.00514,-0.99928,-0.1442,0.00662,-0.98953,3.055,3.083,3.069,Valid,Valid,251.8,195.3,606.9,314.8,198.5,608.2,229.0,198.5,226.2,202.6,0.4123,0.5813,0.4148,0.5753,0.4097,0.5873,Unclassified,33.0,83.0,,,,
5140,5140,100981382,2368002105,2383256164.0,800.0,597.0,799.0,549.0,802.0,645.0,-0.03527,-0.03225,-0.99886,-0.13631,0.01305,-0.99058,3.18,3.131,3.093,Valid,Valid,251.1,195.0,608.2,314.3,198.1,609.1,229.6,175.4,230.5,206.1,0.4168,0.5529,0.4159,0.5084,0.4176,0.5974,Unclassified,33.0,83.0,,,,
5141,5141,100997822,2368018545,2383272602.0,712.0,618.0,712.0,618.0,,,-0.07539,0.00346,-0.99715,,,,3.017,,3.017,Valid,Invalid,250.6,195.2,607.2,,,,204.7,197.4,,,0.3708,0.572,0.3708,0.572,,,Saccade,17.0,359.0,,,,
5142,5142,101014831,2368035554,2383289610.0,,,,,,,,,,,,,,,,Invalid,Invalid,,,,,,,,,,,,,,,,,EyesNotFound,117.0,111.0,,,,
5143,5143,101031255,2368051978,2383306033.0,,,,,,,,,,,,,,,,Invalid,Invalid,,,,,,,,,,,,,,,,,EyesNotFound,117.0,111.0,,,,
5144,5144,101047837,2368068560,2383322614.0,,,,,,,,,,,,,,,,Invalid,Invalid,,,,,,,,,,,,,,,,,EyesNotFound,117.0,111.0,,,,
5145,5145,101064575,2368085298,2383339351.0,,,,,,,,,,,,,,,,Invalid,Invalid,,,,,,,,,,,,,,,,,EyesNotFound,117.0,111.0,,,,
