,Unnamed: 0,Recording timestamp,Computer timestamp,Eyetracker timestamp,Gaze point X,Gaze point Y,Gaze point left X,Gaze point left Y,Gaze point right X,Gaze point right Y,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil diameter left,Pupil diameter right,Pupil diameter filtered,Validity left,Validity right,Eye position left X (DACSmm),Eye position left Y (DACSmm),Eye position left Z (DACSmm),Eye position right X (DACSmm),Eye position right Y (DACSmm),Eye position right Z (DACSmm),Gaze point left X (DACSmm),Gaze point left Y (DACSmm),Gaze point right X (DACSmm),Gaze point right Y (DACSmm),Gaze point X (MCSnorm),Gaze point Y (MCSnorm),Gaze point left X (MCSnorm),Gaze point left Y (MCSnorm),Gaze point right X (MCSnorm),Gaze point right Y (MCSnorm),Eye movement type,Eye movement event duration,Eye movement type index,Fixation point X,Fixation point Y,Fixation point X (MCSnorm),Fixation point Y (MCSnorm)
8405,8405,155398157,2102707965,2117978425.0,944.0,617.0,954.0,623.0,934.0,612.0,0.07558,0.05193,-0.99579,-0.08998,0.04483,-0.99493,2.24,2.395,2.315,Valid,Valid,240.5,175.9,443.9,308.6,175.4,444.0,274.1,199.1,268.5,195.4,0.4915,0.5717,0.4966,0.5771,0.4863,0.5664,Fixation,216.0,432.0,945.0,608.0,0.4924,0.5629
8406,8406,155415024,2102724832,2117995291.0,930.0,607.0,929.0,605.0,930.0,609.0,0.05962,0.039,-0.99746,-0.09205,0.04302,-0.99482,2.217,2.402,2.304,Valid,Valid,240.5,175.9,444.0,308.6,175.3,444.2,267.0,193.3,267.5,194.5,0.4841,0.562,0.4837,0.5602,0.4846,0.5638,Fixation,216.0,432.0,945.0,608.0,0.4924,0.5629
8407,8407,155432185,2102741993,2118012451.0,937.0,602.0,937.0,602.0,,,0.06465,0.03639,-0.99724,,,,2.191,,2.291,Valid,Invalid,240.5,176.0,443.9,,,,269.2,192.2,,,0.4878,0.5571,0.4878,0.5571,,,Fixation,216.0,432.0,945.0,608.0,0.4924,0.5629
8408,8408,155448127,2102757935,2118028392.0,933.0,604.0,935.0,600.0,931.0,608.0,0.06382,0.03456,-0.99736,-0.09157,0.04141,-0.99494,2.199,2.354,2.286,Valid,Valid,240.5,176.2,443.3,308.6,175.7,443.3,268.9,191.6,267.8,194.1,0.4861,0.559,0.4872,0.5554,0.4851,0.5626,Fixation,216.0,432.0,945.0,608.0,0.4924,0.5629
8409,8409,155464942,2102774750,2118045206.0,941.0,607.0,938.0,610.0,945.0,603.0,0.06517,0.04171,-0.997,-0.08274,0.03738,-0.99587,2.204,2.359,2.286,Valid,Valid,240.6,176.5,442.7,308.5,175.9,442.6,269.5,195.0,271.7,192.6,0.4903,0.5616,0.4883,0.5652,0.4923,0.5581,Fixation,216.0,432.0,945.0,608.0,0.4924,0.5629
8410,8410,155482109,2102791917,2118062371.0,951.0,617.0,951.0,617.0,,,0.07404,0.04654,-0.99617,,,,2.197,,2.287,Valid,Invalid,240.7,176.6,442.3,,,,273.5,197.2,,,0.4956,0.5717,0.4956,0.5717,,,Fixation,216.0,432.0,945.0,608.0,0.4924,0.5629
8411,8411,155498000,2102807808,2118078261.0,951.0,607.0,945.0,618.0,957.0,596.0,0.06976,0.04683,-0.99646,-0.07527,0.03261,-0.99663,2.202,2.386,2.288,Valid,Valid,240.7,176.5,442.6,308.6,175.9,442.7,271.7,197.3,275.2,190.4,0.4954,0.5618,0.4923,0.5718,0.4985,0.5519,Fixation,216.0,432.0,945.0,608.0,0.4924,0.5629
8412,8412,155514862,2102824670,2118095122.0,954.0,609.0,954.0,618.0,953.0,600.0,0.07521,0.0474,-0.99604,-0.07774,0.03588,-0.99633,2.237,2.372,2.31,Valid,Valid,240.8,176.3,442.9,308.7,175.7,443.1,274.2,197.4,274.1,191.7,0.4967,0.5639,0.4968,0.5722,0.4966,0.5556,Fixation,216.0,432.0,945.0,608.0,0.4924,0.5629
8413,8413,155532032,2102841840,2118112291.0,955.0,619.0,955.0,619.0,,,0.07547,0.04848,-0.99597,,,,2.235,,2.311,Valid,Invalid,240.8,176.1,443.4,,,,274.4,197.7,,,0.4971,0.5729,0.4971,0.5729,,,Fixation,216.0,432.0,945.0,608.0,0.4924,0.5629
8414,8414,155547969,2102857777,2118128227.0,951.0,605.0,948.0,615.0,954.0,596.0,0.07103,0.04606,-0.99641,-0.07779,0.03393,-0.99639,2.251,2.397,2.32,Valid,Valid,240.9,175.8,444.0,308.9,175.3,444.0,272.6,196.3,274.3,190.4,0.4953,0.5605,0.4938,0.569,0.4969,0.552,Fixation,216.0,432.0,945.0,608.0,0.4924,0.5629
8415,8415,155564781,2102874589,2118145038.0,919.0,584.0,908.0,590.0,930.0,579.0,0.04507,0.02872,-0.99857,-0.09319,0.02209,-0.9954,2.244,2.414,2.332,Valid,Valid,240.9,175.6,444.2,308.9,175.1,444.3,261.0,188.4,267.4,184.9,0.4785,0.5411,0.4728,0.5462,0.4843,0.536,Saccade,17.0,715.0,,,,
8416,8416,155581955,2102891763,2118162211.0,,,,,,,,,,,,,,,2.368,Invalid,Invalid,,,,,,,,,,,,,,,,,EyesNotFound,17.0,612.0,,,,
8417,8417,155597841,2102907649,2118178096.0,685.0,508.0,664.0,498.0,706.0,518.0,-0.11028,-0.03501,-0.99328,-0.23033,-0.01946,-0.97292,2.31,2.504,2.399,Valid,Valid,240.4,174.8,445.3,308.5,174.2,445.2,191.0,159.1,203.1,165.3,0.3569,0.4702,0.346,0.4611,0.3679,0.4792,Fixation,133.0,433.0,692.0,497.0,0.3604,0.4599
8418,8418,155614699,2102924507,2118194953.0,688.0,502.0,670.0,492.0,705.0,512.0,-0.10668,-0.03847,-0.99355,-0.23063,-0.02222,-0.97279,2.325,2.49,2.402,Valid,Valid,240.4,174.5,445.8,308.5,173.8,446.1,192.5,157.3,202.8,163.6,0.3581,0.465,0.3488,0.4559,0.3674,0.4742,Fixation,133.0,433.0,692.0,497.0,0.3604,0.4599
8419,8419,155631629,2102941437,2118211882.0,,,,,,,,,,,,,,,2.402,Invalid,Invalid,,,,,,,,,,,,,,,,,Fixation,133.0,433.0,692.0,497.0,0.3604,0.4599
8420,8420,155647810,2102957618,2118228062.0,687.0,495.0,670.0,477.0,705.0,513.0,-0.10613,-0.0477,-0.99321,-0.23092,-0.02071,-0.97275,2.315,2.487,2.401,Valid,Valid,240.3,173.8,447.1,308.7,173.3,447.0,192.6,152.3,202.6,163.8,0.3579,0.4582,0.3488,0.4416,0.367,0.4747,Fixation,133.0,433.0,692.0,497.0,0.3604,0.4599
8421,8421,155664617,2102974425,2118244868.0,689.0,494.0,670.0,479.0,709.0,508.0,-0.10613,-0.04581,-0.9933,-0.22845,-0.02311,-0.97328,2.31,2.473,2.392,Valid,Valid,240.3,173.7,447.3,308.7,173.0,447.4,192.5,153.1,203.7,162.4,0.3589,0.4572,0.3488,0.4437,0.369,0.4707,Fixation,133.0,433.0,692.0,497.0,0.3604,0.4599
8422,8422,155681299,2102991107,2118261549.0,703.0,513.0,,,703.0,513.0,,,,-0.23188,-0.01958,-0.97255,,2.451,2.375,Invalid,Valid,,,,308.7,172.9,447.6,,,202.0,163.9,0.366,0.475,,,0.366,0.475,Fixation,133.0,433.0,692.0,497.0,0.3604,0.4599
8423,8423,155697683,2103007491,2118277932.0,699.0,493.0,686.0,473.0,712.0,514.0,-0.09528,-0.04963,-0.99421,-0.22604,-0.01844,-0.97394,2.287,2.382,2.334,Valid,Valid,240.2,173.4,447.7,308.7,172.7,447.7,197.3,151.0,204.8,164.2,0.3642,0.4569,0.3574,0.4377,0.371,0.4761,Fixation,133.0,433.0,692.0,497.0,0.3604,0.4599
8424,8424,155714535,2103024343,2118294783.0,696.0,490.0,668.0,475.0,725.0,504.0,-0.1067,-0.04769,-0.99315,-0.21852,-0.02497,-0.97551,2.268,2.328,2.298,Valid,Valid,240.2,173.3,447.7,308.7,172.6,447.8,192.1,151.8,208.4,161.1,0.3627,0.4536,0.348,0.44,0.3775,0.4671,Fixation,133.0,433.0,692.0,497.0,0.3604,0.4599
8425,8425,155731471,2103041279,2118311718.0,,,,,,,,,,,,,,,2.273,Invalid,Invalid,,,,,,,,,,,,,,,,,EyesNotFound,17.0,613.0,,,,
8426,8426,155747652,2103057460,2118327898.0,692.0,492.0,670.0,482.0,715.0,501.0,-0.10529,-0.04148,-0.99358,-0.22424,-0.02676,-0.97417,2.185,2.314,2.259,Valid,Valid,240.0,172.8,448.3,308.6,172.2,448.3,192.5,154.1,205.4,159.9,0.3604,0.4551,0.3487,0.4467,0.3722,0.4635,Saccade,33.0,716.0,,,,
8427,8427,155764454,2103074262,2118344699.0,662.0,447.0,651.0,454.0,673.0,440.0,-0.11662,-0.06097,-0.9913,-0.24752,-0.06766,-0.96652,2.203,2.297,2.241,Valid,Valid,239.9,172.7,448.3,308.3,171.8,448.3,187.2,145.1,193.5,140.4,0.3448,0.4138,0.339,0.4205,0.3506,0.407,Saccade,33.0,716.0,,,,
8428,8428,155781141,2103090949,2118361385.0,,,,,,,,,,,,,,,2.229,Invalid,Invalid,,,,,,,,,,,,,,,,,EyesNotFound,17.0,614.0,,,,
8429,8429,155797525,2103107333,2118377768.0,479.0,188.0,449.0,194.0,509.0,183.0,-0.23202,-0.23031,-0.94505,-0.32895,-0.22882,-0.91621,2.148,2.269,2.21,Valid,Valid,239.2,171.3,449.0,307.6,170.6,449.1,129.0,61.9,146.3,58.4,0.2494,0.1743,0.2337,0.1793,0.265,0.1693,Unclassified,33.0,283.0,,,,
8430,8430,155814469,2103124277,2118394711.0,473.0,185.0,461.0,200.0,486.0,171.0,-0.22536,-0.22658,-0.94756,-0.34034,-0.23503,-0.91046,2.119,2.272,2.194,Valid,Valid,239.2,171.2,448.9,307.5,170.5,449.1,132.4,63.9,139.6,54.6,0.2464,0.1717,0.2399,0.1852,0.2529,0.1582,Unclassified,33.0,283.0,,,,
8431,8431,155830884,2103140692,2118411125.0,,,,,,,,,,,,,,,2.183,Invalid,Invalid,,,,,,,,,,,,,,,,,EyesNotFound,17.0,615.0,,,,
8432,8432,155847494,2103157302,2118427734.0,459.0,184.0,449.0,206.0,469.0,162.0,-0.23166,-0.2222,-0.94708,-0.34783,-0.23938,-0.90648,2.107,2.225,2.173,Valid,Valid,238.8,171.2,448.9,307.3,170.4,449.1,129.0,65.9,135.0,51.8,0.2391,0.1706,0.2338,0.1909,0.2445,0.1502,Saccade,33.0,717.0,,,,
8433,8433,155864388,2103174196,2118444627.0,472.0,175.0,465.0,196.0,480.0,153.0,-0.22212,-0.22939,-0.94765,-0.34174,-0.24515,-0.90726,2.118,2.23,2.17,Valid,Valid,238.8,171.2,448.9,307.1,170.4,449.1,133.6,62.5,138.0,49.0,0.246,0.1617,0.2419,0.1813,0.25,0.1421,Saccade,33.0,717.0,,,,
8434,8434,155880812,2103190620,2118461050.0,,,,,,,,,,,,,,,2.162,Invalid,Invalid,,,,,,,,,,,,,,,,,EyesNotFound,17.0,616.0,,,,
8435,8435,155897463,2103207271,2118477700.0,461.0,168.0,449.0,194.0,474.0,142.0,-0.23047,-0.22985,-0.94554,-0.34376,-0.2516,-0.90472,2.07,2.236,2.15,Valid,Valid,238.4,171.2,448.9,306.9,170.3,449.0,129.0,62.1,136.2,45.4,0.2403,0.1558,0.2337,0.18,0.2468,0.1316,Saccade,33.0,718.0,,,,
8436,8436,155914305,2103224113,2118494541.0,460.0,148.0,,,460.0,148.0,,,,-0.35117,-0.24734,-0.90305,,2.221,2.141,Invalid,Valid,,,,306.7,170.2,449.0,,,132.1,47.2,0.2393,0.1369,,,0.2393,0.1369,Saccade,33.0,718.0,,,,
8437,8437,155930735,2103240543,2118510970.0,,,,,,,,,,,,,,,2.134,Invalid,Invalid,,,,,,,,,,,,,,,,,EyesNotFound,17.0,617.0,,,,
8438,8438,155947335,2103257143,2118527569.0,463.0,161.0,445.0,178.0,480.0,144.0,-0.23104,-0.24032,-0.9428,-0.33984,-0.25071,-0.90645,2.031,2.226,2.133,Valid,Valid,237.9,171.2,448.8,306.4,170.1,449.0,128.0,56.8,138.0,45.9,0.2409,0.1489,0.2318,0.1646,0.2501,0.1332,Fixation,83.0,434.0,461.0,166.0,0.2403,0.1533
8439,8439,155964224,2103274032,2118544457.0,464.0,169.0,452.0,188.0,476.0,151.0,-0.22719,-0.23396,-0.94533,-0.34212,-0.24626,-0.90681,2.014,2.196,2.121,Valid,Valid,237.9,171.2,448.8,306.2,170.1,449.0,130.0,60.1,136.8,48.1,0.2417,0.1569,0.2355,0.1743,0.2479,0.1395,Fixation,83.0,434.0,461.0,166.0,0.2403,0.1533
8440,8440,155980663,2103290471,2118560895.0,,,,,,,,,,,,,,,2.122,Invalid,Invalid,,,,,,,,,,,,,,,,,Fixation,83.0,434.0,461.0,166.0,0.2403,0.1533
8441,8441,155997303,2103307111,2118577534.0,456.0,165.0,445.0,178.0,467.0,151.0,-0.2305,-0.23997,-0.94302,-0.34628,-0.2452,-0.90552,2.081,2.198,2.125,Valid,Valid,237.5,171.1,448.7,305.8,169.9,449.0,127.8,56.9,134.2,48.3,0.2373,0.1525,0.2315,0.165,0.243,0.1401,Fixation,83.0,434.0,461.0,166.0,0.2403,0.1533
8442,8442,156014142,2103323950,2118594372.0,464.0,167.0,458.0,173.0,469.0,162.0,-0.22262,-0.24362,-0.94398,-0.34514,-0.23896,-0.90762,2.07,2.178,2.116,Valid,Valid,237.4,171.1,448.7,305.7,169.8,448.9,131.6,55.3,134.9,51.6,0.2414,0.155,0.2384,0.1603,0.2445,0.1496,Fixation,83.0,434.0,461.0,166.0,0.2403,0.1533
8443,8443,156030586,2103340394,2118610815.0,,,,,,,,,,,,,,,2.111,Invalid,Invalid,,,,,,,,,,,,,,,,,EyesNotFound,17.0,618.0,,,,
8444,8444,156047176,2103356984,2118627404.0,601.0,175.0,589.0,189.0,614.0,161.0,-0.14595,-0.23656,-0.96059,-0.26796,-0.24542,-0.93165,2.038,2.159,2.098,Valid,Valid,237.4,171.0,448.7,305.6,169.6,448.9,169.2,60.5,176.5,51.4,0.3132,0.1621,0.3066,0.1753,0.3198,0.1489,Saccade,33.0,719.0,,,,
8445,8445,156064061,2103373869,2118644288.0,633.0,182.0,612.0,195.0,653.0,168.0,-0.13212,-0.23314,-0.96343,-0.24615,-0.24207,-0.93852,2.037,2.154,2.095,Valid,Valid,237.4,170.9,448.6,305.5,169.5,448.8,175.9,62.4,187.8,53.8,0.3294,0.1683,0.3186,0.1807,0.3403,0.1558,Saccade,33.0,719.0,,,,
8446,8446,156080515,2103390323,2118660740.0,,,,,,,,,,,,,,,2.092,Invalid,Invalid,,,,,,,,,,,,,,,,,EyesNotFound,17.0,619.0,,,,
8447,8447,156097146,2103406954,2118677370.0,630.0,182.0,608.0,194.0,652.0,171.0,-0.13355,-0.23394,-0.96304,-0.24658,-0.24001,-0.93893,2.035,2.127,2.092,Valid,Valid,237.1,170.8,448.6,305.2,169.3,448.8,174.9,61.8,187.3,54.6,0.3281,0.1688,0.3168,0.1793,0.3393,0.1583,Fixation,83.0,435.0,630.0,182.0,0.3281,0.1688
8448,8448,156113981,2103423789,2118694204.0,629.0,182.0,607.0,197.0,651.0,167.0,-0.13433,-0.23183,-0.96344,-0.24627,-0.24265,-0.93833,2.03,2.147,2.092,Valid,Valid,237.0,170.8,448.6,305.0,169.3,448.7,174.5,62.9,187.2,53.2,0.3276,0.1682,0.3161,0.1822,0.3392,0.1542,Fixation,83.0,435.0,630.0,182.0,0.3281,0.1688
8449,8449,156130438,2103440246,2118710660.0,,,,,,,,,,,,,,,2.101,Invalid,Invalid,,,,,,,,,,,,,,,,,Fixation,83.0,435.0,630.0,182.0,0.3281,0.1688
8450,8450,156147018,2103456826,2118727239.0,629.0,185.0,609.0,199.0,649.0,171.0,-0.13255,-0.23004,-0.96411,-0.24688,-0.23983,-0.9389,2.044,2.184,2.105,Valid,Valid,236.7,170.7,448.5,304.7,169.1,448.7,175.1,63.7,186.7,54.5,0.3277,0.1712,0.3172,0.1846,0.3383,0.1579,Fixation,83.0,435.0,630.0,182.0,0.3281,0.1688
8451,8451,156163899,2103473707,2118744119.0,632.0,180.0,611.0,196.0,653.0,164.0,-0.13098,-0.2319,-0.96388,-0.24467,-0.24394,-0.93842,2.046,2.18,2.106,Valid,Valid,236.7,170.6,448.5,304.6,169.0,448.7,175.8,62.8,187.6,52.4,0.3291,0.1669,0.3184,0.1819,0.3399,0.1519,Fixation,83.0,435.0,630.0,182.0,0.3281,0.1688
8452,8452,156180361,2103490169,2118760580.0,,,,,,,,,,,,,,,2.106,Invalid,Invalid,,,,,,,,,,,,,,,,,EyesNotFound,17.0,620.0,,,,
8453,8453,156196987,2103506795,2118777205.0,643.0,195.0,630.0,208.0,655.0,181.0,-0.11943,-0.22424,-0.96719,-0.24365,-0.23309,-0.94144,2.047,2.148,2.106,Valid,Valid,236.5,170.5,448.4,304.4,168.8,448.6,181.2,66.6,188.3,57.8,0.3346,0.1802,0.3282,0.1929,0.3411,0.1675,Saccade,33.0,720.0,,,,
8454,8454,156213817,2103523625,2118794034.0,689.0,198.0,648.0,207.0,731.0,189.0,-0.10872,-0.22518,-0.96823,-0.20028,-0.23035,-0.95228,2.062,2.165,2.114,Valid,Valid,236.6,170.5,448.4,304.4,168.8,448.6,186.2,66.2,210.1,60.3,0.359,0.1833,0.3374,0.1919,0.3806,0.1747,Saccade,33.0,720.0,,,,
8455,8455,156230288,2103540096,2118810504.0,,,,,,,,,,,,,,,2.133,Invalid,Invalid,,,,,,,,,,,,,,,,,EyesNotFound,17.0,621.0,,,,
8456,8456,156246860,2103556668,2118827075.0,758.0,207.0,740.0,218.0,777.0,197.0,-0.05257,-0.21879,-0.97436,-0.17365,-0.22606,-0.95851,2.11,2.206,2.146,Valid,Valid,236.8,170.3,448.4,304.5,168.7,448.5,212.6,69.7,223.3,62.9,0.3948,0.1921,0.3852,0.2019,0.4044,0.1823,Unclassified,33.0,284.0,,,,
8457,8457,156263735,2103573543,2118843949.0,767.0,211.0,753.0,220.0,782.0,203.0,-0.04446,-0.21769,-0.97501,-0.17043,-0.22211,-0.96001,2.081,2.226,2.151,Valid,Valid,236.8,170.3,448.3,304.5,168.6,448.5,216.4,70.2,224.9,64.8,0.3996,0.1958,0.392,0.2035,0.4073,0.188,Unclassified,33.0,284.0,,,,
8458,8458,156280211,2103590019,2118860424.0,,,,,,,,,,,,,,,2.161,Invalid,Invalid,,,,,,,,,,,,,,,,,EyesNotFound,17.0,622.0,,,,
8459,8459,156296829,2103606637,2118877041.0,745.0,214.0,715.0,227.0,775.0,200.0,-0.0679,-0.21224,-0.97486,-0.17431,-0.22334,-0.95903,2.114,2.203,2.161,Valid,Valid,236.8,170.1,448.3,304.5,168.5,448.4,205.6,72.6,222.9,64.0,0.3882,0.198,0.3725,0.2103,0.4039,0.1856,Fixation,83.0,436.0,752.0,213.0,0.3916,0.1975
8460,8460,156313654,2103623462,2118893865.0,752.0,215.0,739.0,222.0,766.0,208.0,-0.05291,-0.2156,-0.97505,-0.18028,-0.21835,-0.95907,2.108,2.222,2.157,Valid,Valid,236.8,170.1,448.3,304.4,168.4,448.4,212.5,71.0,220.2,66.3,0.3919,0.199,0.3849,0.2058,0.3988,0.1922,Fixation,83.0,436.0,752.0,213.0,0.3916,0.1975
8461,8461,156330134,2103639942,2118910344.0,,,,,,,,,,,,,,,2.157,Invalid,Invalid,,,,,,,,,,,,,,,,,Fixation,83.0,436.0,752.0,213.0,0.3916,0.1975
8462,8462,156346702,2103656510,2118926911.0,752.0,213.0,738.0,225.0,767.0,201.0,-0.05368,-0.21343,-0.97548,-0.17959,-0.22246,-0.95826,2.109,2.189,2.165,Valid,Valid,236.9,170.0,448.2,304.4,168.2,448.4,212.2,71.9,220.4,64.2,0.3919,0.1972,0.3845,0.2084,0.3993,0.186,Fixation,83.0,436.0,752.0,213.0,0.3916,0.1975
8463,8463,156363573,2103673381,2118943781.0,757.0,211.0,740.0,220.0,775.0,203.0,-0.0527,-0.21694,-0.97476,-0.17473,-0.22091,-0.95951,2.104,2.223,2.166,Valid,Valid,236.9,169.9,448.2,304.5,168.2,448.3,212.7,70.2,222.8,65.0,0.3945,0.1958,0.3853,0.2034,0.4037,0.1883,Fixation,83.0,436.0,752.0,213.0,0.3916,0.1975
8464,8464,156380061,2103689869,2118960268.0,,,,,,,,,,,,,,,2.181,Invalid,Invalid,,,,,,,,,,,,,,,,,EyesNotFound,17.0,623.0,,,,
8465,8465,156396671,2103706479,2118976877.0,917.0,230.0,895.0,225.0,940.0,236.0,0.04273,-0.21329,-0.97605,-0.07583,-0.20217,-0.97641,2.156,2.24,2.194,Valid,Valid,237.6,169.7,448.2,305.0,168.1,448.2,257.2,71.8,270.2,75.3,0.4777,0.2131,0.466,0.2081,0.4895,0.2182,Fixation,133.0,437.0,918.0,228.0,0.4783,0.2108
8466,8466,156413490,2103723298,2118993695.0,916.0,221.0,893.0,223.0,940.0,218.0,0.04151,-0.21436,-0.97587,-0.07551,-0.21366,-0.97399,2.155,2.245,2.194,Valid,Valid,237.6,169.7,448.2,305.0,168.1,448.2,256.7,71.3,270.3,69.8,0.4773,0.2044,0.465,0.2066,0.4896,0.2022,Fixation,133.0,437.0,918.0,228.0,0.4783,0.2108
8467,8467,156429984,2103739792,2119010188.0,,,,,,,,,,,,,,,2.195,Invalid,Invalid,,,,,,,,,,,,,,,,,Fixation,133.0,437.0,918.0,228.0,0.4783,0.2108
8468,8468,156446542,2103756350,2119026745.0,922.0,228.0,897.0,229.0,948.0,227.0,0.04393,-0.2106,-0.97659,-0.07116,-0.20797,-0.97554,2.154,2.222,2.195,Valid,Valid,237.8,169.7,448.2,305.1,168.1,448.2,257.9,73.0,272.5,72.5,0.4804,0.2109,0.4672,0.2117,0.4936,0.2102,Fixation,133.0,437.0,918.0,228.0,0.4783,0.2108
8469,8469,156463409,2103773217,2119043611.0,916.0,230.0,883.0,229.0,950.0,231.0,0.03499,-0.21032,-0.97701,-0.07023,-0.20523,-0.97619,2.148,2.235,2.195,Valid,Valid,237.8,169.7,448.1,305.2,168.1,448.2,253.8,73.2,273.0,73.8,0.4772,0.2131,0.4599,0.2121,0.4946,0.214,Fixation,133.0,437.0,918.0,228.0,0.4783,0.2108
8470,8470,156479907,2103789715,2119060108.0,,,,,,,,,,,,,,,2.196,Invalid,Invalid,,,,,,,,,,,,,,,,,Fixation,133.0,437.0,918.0,228.0,0.4783,0.2108
8471,8471,156496511,2103806319,2119076711.0,917.0,226.0,890.0,233.0,944.0,218.0,0.03878,-0.20775,-0.97741,-0.07426,-0.21361,-0.97409,2.167,2.234,2.201,Valid,Valid,238.1,169.6,448.1,305.4,168.1,448.2,255.9,74.3,271.3,69.8,0.4775,0.2089,0.4635,0.2155,0.4914,0.2022,Fixation,133.0,437.0,918.0,228.0,0.4783,0.2108
8472,8472,156513327,2103823135,2119093526.0,922.0,231.0,891.0,233.0,952.0,230.0,0.03937,-0.20782,-0.97738,-0.06947,-0.20597,-0.97609,2.167,2.247,2.207,Valid,Valid,238.2,169.6,448.2,305.6,168.1,448.2,256.2,74.3,273.7,73.5,0.48,0.2142,0.4641,0.2154,0.4958,0.2131,Fixation,133.0,437.0,918.0,228.0,0.4783,0.2108
8473,8473,156529830,2103839638,2119110028.0,,,,,,,,,,,,,,,2.212,Invalid,Invalid,,,,,,,,,,,,,,,,,EyesNotFound,17.0,624.0,,,,
