,Recording timestamp,Computer timestamp,Event value
2025,49021032,1996330840,視線誘導問題.002
3963,81237952,2028547760,視線誘導問題.002
4265,86228513,2033538321,視線誘導問題.001
5835,112603231,2059913039,視線誘導問題.001
6139,117611023,2064920831,視線誘導問題.004
8110,150378044,2097687852,視線誘導問題.004
8404,155385662,2102695470,視線誘導問題.003
10465,189654192,2136964000,視線誘導問題.003
