,Recording timestamp,Computer timestamp,Event value
8624,161667591,488925591,視線誘導問題.003
10500,192866352,520124352,視線誘導問題.003
10803,197857190,525115190,視線誘導問題.002
12664,228780350,556038350,視線誘導問題.002
12968,233788595,561046595,視線誘導問題.004
14943,266622153,593880153,視線誘導問題.004
15245,271613123,598871123,視線誘導問題.001
17186,304030292,631288292,視線誘導問題.001
