,Recording timestamp,Computer timestamp,Event value
7057,131493532,6790447553,視線誘導問題.001
8983,163520969,6822474990,視線誘導問題.001
9287,168529652,6827483673,視線誘導問題.004
11198,200288917,6859242938,視線誘導問題.004
11502,205296898,6864250919,視線誘導問題.002
13757,242247315,6901201336,視線誘導問題.002
14047,247255399,6906209420,視線誘導問題.003
16047,280802867,6939756888,視線誘導問題.003
