,Recording timestamp,Computer timestamp,Event value
8167,152765643,7159818902,視線誘導問題.001
10138,185526232,7192579491,視線誘導問題.001
10441,190526180,7197579439,視線誘導問題.002
12488,224603689,7231656948,視線誘導問題.002
12787,229615756,7236669015,視線誘導問題.003
14794,262763816,7269817075,視線誘導問題.003
15091,267771675,7274824934,視線誘導問題.004
17135,301907892,7308961151,視線誘導問題.004
