,Unnamed: 0,Recording timestamp,Computer timestamp,Eyetracker timestamp,Gaze point X,Gaze point Y,Gaze point left X,Gaze point left Y,Gaze point right X,Gaze point right Y,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil diameter left,Pupil diameter right,Pupil diameter filtered,Validity left,Validity right,Eye position left X (DACSmm),Eye position left Y (DACSmm),Eye position left Z (DACSmm),Eye position right X (DACSmm),Eye position right Y (DACSmm),Eye position right Z (DACSmm),Gaze point left X (DACSmm),Gaze point left Y (DACSmm),Gaze point right X (DACSmm),Gaze point right Y (DACSmm),Gaze point X (MCSnorm),Gaze point Y (MCSnorm),Gaze point left X (MCSnorm),Gaze point left Y (MCSnorm),Gaze point right X (MCSnorm),Gaze point right Y (MCSnorm),Eye movement type,Eye movement event duration,Eye movement type index,Fixation point X,Fixation point Y,Fixation point X (MCSnorm),Fixation point Y (MCSnorm)
12788,12788,229631258,7236684517,7254972531.0,872.0,386.0,858.0,386.0,886.0,386.0,0.08031,-0.11798,-0.98976,-0.00231,-0.12232,-0.99249,3.19,3.325,3.262,Valid,Valid,193.0,202.0,660.6,256.2,205.5,667.8,246.6,123.3,254.6,123.2,0.4539,0.3572,0.4467,0.3574,0.4612,0.3571,Fixation,499.0,487.0,866.0,400.0,0.4508,0.3704
12789,12789,229647867,7236701126,7254989139.0,872.0,388.0,852.0,392.0,891.0,384.0,0.07898,-0.11582,-0.99013,0.00088,-0.12404,-0.99228,3.2,3.339,3.27,Valid,Valid,192.4,202.4,658.8,255.6,205.8,666.1,245.0,125.3,256.2,122.5,0.454,0.3592,0.4438,0.3633,0.4642,0.3551,Fixation,499.0,487.0,866.0,400.0,0.4508,0.3704
12790,12790,229664793,7236718052,7255006064.0,865.0,395.0,848.0,398.0,882.0,391.0,0.07851,-0.11412,-0.99036,-0.00215,-0.1213,-0.99261,3.212,3.347,3.279,Valid,Valid,191.8,202.9,657.0,255.1,206.2,664.4,243.9,127.2,253.6,125.0,0.4506,0.3655,0.4418,0.3687,0.4595,0.3622,Fixation,499.0,487.0,866.0,400.0,0.4508,0.3704
12791,12791,229681122,7236734381,7255022392.0,866.0,390.0,846.0,399.0,886.0,382.0,0.07832,-0.11425,-0.99036,0.00026,-0.12619,-0.99201,3.232,3.347,3.29,Valid,Valid,191.5,203.1,656.0,254.7,206.3,663.3,243.3,127.4,254.9,121.9,0.4513,0.3614,0.4408,0.3693,0.4617,0.3534,Fixation,499.0,487.0,866.0,400.0,0.4508,0.3704
12792,12792,229697776,7236751035,7255039045.0,867.0,387.0,842.0,397.0,891.0,376.0,0.07751,-0.11556,-0.99027,0.00282,-0.12917,-0.99162,3.235,3.369,3.297,Valid,Valid,191.0,203.3,654.4,254.3,206.4,661.7,242.2,127.0,256.1,120.2,0.4514,0.3582,0.4388,0.368,0.464,0.3485,Fixation,499.0,487.0,866.0,400.0,0.4508,0.3704
12793,12793,229714726,7236767985,7255055994.0,868.0,388.0,842.0,396.0,894.0,381.0,0.078,-0.11682,-0.99009,0.00485,-0.12716,-0.99187,3.239,3.365,3.302,Valid,Valid,190.5,203.3,652.4,253.8,206.3,659.9,241.9,126.4,257.1,121.7,0.452,0.3596,0.4383,0.3663,0.4657,0.3529,Fixation,499.0,487.0,866.0,400.0,0.4508,0.3704
12794,12794,229731003,7236784262,7255072270.0,861.0,402.0,839.0,407.0,884.0,397.0,0.07717,-0.11139,-0.99078,0.00107,-0.11948,-0.99284,3.243,3.359,3.302,Valid,Valid,190.3,203.2,651.3,253.6,206.2,658.5,241.1,130.0,254.3,126.9,0.4487,0.3724,0.4367,0.3769,0.4607,0.3679,Fixation,499.0,487.0,866.0,400.0,0.4508,0.3704
12795,12795,229747695,7236800954,7255088961.0,858.0,402.0,832.0,407.0,883.0,397.0,0.0752,-0.11133,-0.99093,0.00092,-0.11936,-0.99285,3.25,3.365,3.302,Valid,Valid,190.0,202.9,649.5,253.2,205.7,656.8,239.3,129.9,253.9,126.7,0.4467,0.3719,0.4336,0.3765,0.4599,0.3673,Fixation,499.0,487.0,866.0,400.0,0.4508,0.3704
12796,12796,229764639,7236817898,7255105904.0,867.0,395.0,844.0,401.0,889.0,388.0,0.08113,-0.11337,-0.99023,0.00411,-0.12254,-0.99246,3.232,3.367,3.305,Valid,Valid,189.7,202.1,647.6,252.9,205.0,655.1,242.8,128.0,255.6,124.1,0.4515,0.3654,0.4398,0.371,0.4631,0.3597,Fixation,499.0,487.0,866.0,400.0,0.4508,0.3704
12797,12797,229780866,7236834125,7255122130.0,871.0,395.0,845.0,397.0,897.0,393.0,0.08164,-0.11482,-0.99003,0.00787,-0.11995,-0.99275,3.233,3.382,3.312,Valid,Valid,189.6,201.8,646.6,252.7,204.5,653.9,242.9,126.8,257.9,125.5,0.4536,0.3656,0.44,0.3675,0.4671,0.3638,Fixation,499.0,487.0,866.0,400.0,0.4508,0.3704
12798,12798,229797614,7236850873,7255138876.0,873.0,398.0,851.0,403.0,895.0,393.0,0.08488,-0.11136,-0.99015,0.00746,-0.11954,-0.9928,3.251,3.387,3.311,Valid,Valid,189.3,201.2,645.1,252.3,203.9,652.4,244.6,128.7,257.2,125.4,0.4545,0.3682,0.443,0.3729,0.466,0.3634,Fixation,499.0,487.0,866.0,400.0,0.4508,0.3704
