,Recording timestamp,Computer timestamp,Event value
17465,306634928,1537336690,視線誘導問題.001
18847,329604595,1560306357,視線誘導問題.001
19150,334595024,1565296786,視線誘導問題.002
20265,353107293,1583809055,視線誘導問題.002
20569,358114658,1588816420,視線誘導問題.004
21765,377995596,1608697358,視線誘導問題.004
22069,383003468,1613705230,視線誘導問題.003
23930,413934520,1644636282,視線誘導問題.003
